,bathrooms,building_subtype,building_type,conservation_state,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,rooms,sqft_m2,neighbourhood,neighb_meanprice
7154,2,Flat,Flat,1.0,330,True,False,41.39902,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/156864338/d,2.203407,1200.0,ENGEL & VOELKERS,2,85,el poblenou,15.083231195188253
7155,1,Flat,Flat,1.0,0,True,False,41.38472,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/158115064/d,2.172441,1200.0,Fl Realty,2,69,el barri gòtic,14.298789695601279
7156,1,Flat,Flat,1.0,0,True,False,41.3846,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/158115164/d,2.172254,1200.0,Fl Realty,2,69,el barri gòtic,14.298789695601279
7157,2,Flat,Flat,1.0,0,False,False,41.37342,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-patio-amueblado/157558139/d,2.143601,1200.0,ENGEL & VOELKERS,2,93,hostafrancs,13.832742542799206
7158,2,Flat,Flat,1.0,0,True,False,41.3811,/es/alquiler/vivienda/barcelona-capital/calefaccion-zona-comunitaria-ascensor-patio-amueblado-television-internet/158142306/d,2.146472,1200.0,CENTURY 21 consell cent,4,96,la nova esquerra de l'eixample,14.521146251476095
7159,2,Duplex,Flat,1.0,0,True,False,41.40161,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-patio-amueblado-se-aceptan-mascotas/157691509/d,2.156796,1200.0,ENGEL & VOELKERS,1,95,la vila de gràcia,15.09676059493889
7160,2,Flat,Flat,1.0,100,True,False,41.39249,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157683937/d,2.157483,1200.0,ENGEL & VOELKERS,3,100,l'antiga esquerra de l'eixample,14.475539079123976
7161,1,Apartment,Flat,1.0,0,True,False,41.40241,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-no-amueblado/157928229/d,2.178833,1200.0,ENGEL & VOELKERS,2,66,la sagrada família,14.476486837923611
7162,2,Flat,Flat,1.0,0,True,False,41.39355,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157654173/d,2.174612,1200.0,ENGEL & VOELKERS,3,110,la dreta de l'eixample,14.399608832391861
7163,1,Apartment,Flat,1.0,0,True,False,41.40289,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/156076121/d,2.140165,1200.0,ENGEL & VOELKERS,2,55,sant gervasi - la bonanova,16.038572036859406
7164,1,Flat,Flat,1.0,0,True,False,41.38227,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-internet/157640255/d,2.17071,1200.0,ARAICO ASSESSORS S.L,1,50,el raval,14.323614132049755
7165,2,Flat,Flat,1.0,0,True,False,41.38285,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-se-aceptan-mascotas/157708664/d,2.1274490000000004,1200.0,ENGEL & VOELKERS,3,81,la maternitat i sant ramon,14.449559376751349
7166,2,Flat,Flat,1.0,0,True,False,41.39851,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/158145015/d,2.174881,1200.0,BERGUA,2,80,la dreta de l'eixample,14.399608832391861
7167,1,Apartment,Flat,1.0,0,True,False,41.40608,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/156038540/d,2.138777,1200.0,ENGEL & VOELKERS,1,55,sant gervasi - la bonanova,16.038572036859406
7168,1,Flat,Flat,1.0,0,False,False,41.39818,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-patio-no-amueblado/158145492/d,2.123456,1200.0,1001 PISOS,3,80,sarrià,16.866645352136484
7169,2,Flat,Flat,1.0,172,True,False,41.38001,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-zona-comunitaria-ascensor/157818406/d,2.14664,1200.0,VIVENIO RESIDENCIAL,3,86,la nova esquerra de l'eixample,14.521146251476095
